plot;tag;GenusSpecies;family;order1;order2;order3
P06;500308;Terminalia amazonia;Combretaceae;0.834534787107388;0.460989546702777;0.199127902598901
P06;500308;Terminalia amazonia;Combretaceae;0.301561438715824;0.613830573180031;0.222309095710426
P06;500308;Terminalia amazonia;Combretaceae;0.198384891500609;0.259537626050593;0.260606466780152
P06;500308;Terminalia amazonia;Combretaceae;0.724502509507946;0.332781219916949;0.0453200295396
P06;500519;Terminalia amazonia;Combretaceae;2.16281766725703;0.568686596722855;0.242194768747726
P06;500519;Terminalia amazonia;Combretaceae;0.640937531350175;0.674612609717762;0.303487123623659
P06;500519;Terminalia amazonia;Combretaceae;0.61019455703377;0.618259521800132;0.176845122520188
P06;500519;Terminalia amazonia;Combretaceae;1.00044355045022;0.349890827023356;0.128017241223304
P06;500578;Terminalia amazonia;Combretaceae;0.542515593404206;0.56481818009172;0.111670994154565
P06;500578;Terminalia amazonia;Combretaceae;0.265568684219053;0.749393377519534;0.336139994746593
P06;500578;Terminalia amazonia;Combretaceae;0.327949595065384;0.704301526415458;0.324323326554038
P06;500578;Terminalia amazonia;Combretaceae;0.217862389802107;0.359738536703684;0.296526649636973
P06;500310;Tachigali versicolor;Fabaceae-caesalpinioideae;1.3621753670117;1.00750933539408;0.381856555906223
P06;500310;Tachigali versicolor;Fabaceae-caesalpinioideae;2.52598901050413;0.722237425215014;0.401333975884048
P06;500310;Tachigali versicolor;Fabaceae-caesalpinioideae;0.927494299792611;0.466572564742363;0.299284979282797
P06;500310;Tachigali versicolor;Fabaceae-caesalpinioideae;2.5302338412126;0.328767853907497;0.313735843771524
campochagres;622486;Gustavia superba;Lecythidaceae;0.281535995518633;0.169164951379322;0.0814984853632002
campochagres;622486;Gustavia superba;Lecythidaceae;0.288891349158446;0.0682874390690982;0.0742278772601829
campochagres;622486;Gustavia superba;Lecythidaceae;0.711992547251731;0.0027929166532544;0.164138519389559
campochagres;622486;Gustavia superba;Lecythidaceae;0.665804083485727;0.336091109720394;0.104421041368331
campochagres;622485;Gustavia superba;Lecythidaceae;1.77166980386476;0.213322782309332;0.38724611064443
campochagres;622485;Gustavia superba;Lecythidaceae;0.498420581044603;0.156156017740306;0.281989955599472
campochagres;622485;Gustavia superba;Lecythidaceae;0.641955131452168;0.379735379881895;0.302635527774649
campochagres;622485;Gustavia superba;Lecythidaceae;0.433918063299122;0.313202056909488;0.353631104187222
campochagres;621563;Gustavia superba;Lecythidaceae;0.240884922480208;0.124873653577527;0.145210794229564
campochagres;621563;Gustavia superba;Lecythidaceae;0.145220674705964;0.159333788317589;0.107705125021405
campochagres;621563;Gustavia superba;Lecythidaceae;0.169216310018891;0.116812042804292;0.180238785079381
campochagres;621563;Gustavia superba;Lecythidaceae;0.193512791812524;0.10738397211491;0.167209098773575
P07;809637;Gustavia superba;Lecythidaceae;0.503816563051401;0.767910678701876;0.442083826576957
P07;809637;Gustavia superba;Lecythidaceae;0.755859754333679;0.78423327220177;0.389909842558299
P07;809637;Gustavia superba;Lecythidaceae;0.883141503601356;0.696492259645951;0.462521231044118
P07;809637;Gustavia superba;Lecythidaceae;0.695416606327846;1.0935153171273;0.715423734161132
P07;809637;Gustavia superba;Lecythidaceae;0.526885206055804;0.52553339864864;0.38581162210391
P07;809637;Gustavia superba;Lecythidaceae;0.53301951562125;0.540966297568314;0.428451786648128
P07;809637;Gustavia superba;Lecythidaceae;0.408428484634535;0.447198333152374;0.456358999390745
P07;809637;Gustavia superba;Lecythidaceae;0.629353382036615;0.330961376771454;0.406276999981802
P07;806585;Tachigali versicolor;Fabaceae-caesalpinioideae;0.617278332313669;0.350610145142642;0.43556022199914
P07;806585;Tachigali versicolor;Fabaceae-caesalpinioideae;0.685786486474311;0.490215498607618;0.522140598239707
P07;806585;Tachigali versicolor;Fabaceae-caesalpinioideae;0.995889226415633;0.425547239314957;0.288938755341408
P07;806585;Tachigali versicolor;Fabaceae-caesalpinioideae;0.961694613450713;0.633847275549041;0.484281624631096
P07;806585;Tachigali versicolor;Fabaceae-caesalpinioideae;0.225277876167751;0.543237385869159;0.283152140590639
P07;806585;Tachigali versicolor;Fabaceae-caesalpinioideae;0.861960333164566;0.71759445081829;0.233884822775566
P07;806585;Tachigali versicolor;Fabaceae-caesalpinioideae;0.909969127616575;0.281101030178618;0.209304189346717
P07;806585;Tachigali versicolor;Fabaceae-caesalpinioideae;2.0673653754128;0.582154927993853;0.29219655578469
