plot;tag;GenusSpecies;family;phosphatase_activity
campochagres;105237;Gustavia superba;Lecythidaceae;0.0643716632339919
campochagres;105237;Gustavia superba;Lecythidaceae;0.206174028741412
campochagres;105237;Gustavia superba;Lecythidaceae;0.270088239331653
campochagres;105237;Gustavia superba;Lecythidaceae;0.191714616313965
campochagres;105665;Brosimum alicastrum;Moraceae;0.191610214950827
campochagres;105665;Brosimum alicastrum;Moraceae;0.276863504136556
campochagres;105665;Brosimum alicastrum;Moraceae;0.111227538366302
campochagres;105665;Brosimum alicastrum;Moraceae;0.384204769697852
P23;114637;Swartzia simplex;Fabaceae-papilionoideae;0.55541771093863
P23;114637;Swartzia simplex;Fabaceae-papilionoideae;0.812056300458584
P23;114637;Swartzia simplex;Fabaceae-papilionoideae;0.772197852423652
P23;114637;Swartzia simplex;Fabaceae-papilionoideae;0.898064508547583
P23;253290;Attalea butyracea;Arecaceae;0.0743125820031854
P23;253290;Attalea butyracea;Arecaceae;0.314282133389735
P23;253290;Attalea butyracea;Arecaceae;0.0533712347962927
P23;253290;Attalea butyracea;Arecaceae;0.647392040157468
P06;500308;Terminalia amazonia;Combretaceae;0.581625551371615
P06;500308;Terminalia amazonia;Combretaceae;0.258386231234889
P06;500308;Terminalia amazonia;Combretaceae;0.213647825639334
P06;500308;Terminalia amazonia;Combretaceae;0.527418081227505
P06;500310;Tachigali versicolor;Fabaceae-caesalpinioideae;1.56597405449877
P06;500310;Tachigali versicolor;Fabaceae-caesalpinioideae;2.55752095716218
P06;500310;Tachigali versicolor;Fabaceae-caesalpinioideae;1.74937003210627
P06;500310;Tachigali versicolor;Fabaceae-caesalpinioideae;2.03474032122393
P06;500519;Terminalia amazonia;Combretaceae;1.42100802237086
P06;500519;Terminalia amazonia;Combretaceae;0.680400747501335
P06;500519;Terminalia amazonia;Combretaceae;0.57522924615188
P06;500519;Terminalia amazonia;Combretaceae;0.940257538674391
P06;500578;Terminalia amazonia;Combretaceae;0.43092845788091
P06;500578;Terminalia amazonia;Combretaceae;0.224212622022577
P06;500578;Terminalia amazonia;Combretaceae;0.246915208422861
P06;500578;Terminalia amazonia;Combretaceae;0.196698272369091
P06;500847;Lindackeria laurina;Achariaceae;1.12613304458139
P06;500847;Lindackeria laurina;Achariaceae;0.917343367349728
P06;500847;Lindackeria laurina;Achariaceae;0.758221695629864
P06;500847;Lindackeria laurina;Achariaceae;0.586863192237097
P06;501345;Tapirira guianensis;Anacardiaceae;0.899319976725189
P06;501345;Tapirira guianensis;Anacardiaceae;0.915723201923524
P06;501345;Tapirira guianensis;Anacardiaceae;0.756856016722175
P06;501345;Tapirira guianensis;Anacardiaceae;1.03077457512044
